     0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay
   1.input ;               1,0000 ;              -0,2573 ;                  NaN ;               0,8564 ;               0,9838 ;              -0,0024 ;              -0,0031 ;               0,0032 ;                  NaN ;              -0,0029 ;               0,0051 ;              -0,0376 ;               0,4542 ;               0,0013 ;               0,0000 ;               0,2585 ;              -0,2970 ;              -0,0532 ;               0,0006 ;              -0,0018 ;              -0,0000 ;               0,0004 ;              -0,0019 ;              -0,0533 ;              -0,0000 ;               0,0001 ;                  NaN ;              -0,0015 ;               0,0006 ;              -0,0567 ;              -0,1905 ;              -0,0053 ;                  NaN ;              -0,1433 ;               0,1146 ;              -0,0479 ;               0,1146 ;               0,0056 ;                  NaN ;               0,2040 ;              -0,1141 ;              -0,0712 ;               0,1146 ;              -0,0061 ;              -0,0000 ;               0,0788 ;               0,0987 ;               0,0031 
   1.speed ;              -0,2573 ;               1,0000 ;                  NaN ;              -0,6467 ;              -0,2208 ;               0,0016 ;              -0,0009 ;               0,0010 ;                  NaN ;              -0,0022 ;              -0,0062 ;              -0,0416 ;              -0,1064 ;              -0,0022 ;               0,0000 ;               0,1594 ;              -0,0240 ;              -0,0319 ;              -0,0052 ;              -0,0008 ;              -0,0000 ;              -0,0046 ;              -0,0014 ;              -0,0552 ;               0,0040 ;              -0,0034 ;                  NaN ;               0,0059 ;              -0,0027 ;               0,0099 ;              -0,0179 ;              -0,0004 ;                  NaN ;               0,1379 ;               0,0448 ;              -0,0638 ;               0,0448 ;              -0,0006 ;                  NaN ;               0,0536 ;               0,0537 ;              -0,0174 ;               0,0448 ;               0,0009 ;              -0,0000 ;               0,0356 ;              -0,0877 ;              -0,0695 
    1.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 1.density ;               0,8564 ;              -0,6467 ;                  NaN ;               1,0000 ;               0,8271 ;              -0,0020 ;              -0,2544 ;               0,1934 ;                  NaN ;              -0,2295 ;               0,1331 ;               0,0176 ;               0,4969 ;               0,0482 ;               0,0000 ;               0,2018 ;              -0,0744 ;              -0,0039 ;              -0,0158 ;              -0,0152 ;              -0,0000 ;              -0,0103 ;              -0,0166 ;              -0,0106 ;               0,0031 ;              -0,0026 ;                  NaN ;               0,0006 ;               0,0013 ;              -0,0497 ;              -0,0538 ;              -0,0029 ;                  NaN ;              -0,1014 ;               0,1011 ;              -0,0010 ;               0,1011 ;               0,0031 ;                  NaN ;               0,1405 ;              -0,0803 ;              -0,0506 ;               0,1011 ;              -0,0046 ;              -0,0000 ;               0,1148 ;               0,1001 ;               0,0288 
  1.output ;               0,9838 ;              -0,2208 ;                  NaN ;               0,8271 ;               1,0000 ;               0,0575 ;              -0,0025 ;               0,0091 ;                  NaN ;              -0,0045 ;              -0,0073 ;               0,0425 ;               0,4505 ;               0,0021 ;               0,0000 ;               0,2640 ;              -0,2954 ;               0,0463 ;               0,0030 ;              -0,0017 ;              -0,0000 ;               0,0030 ;               0,0039 ;               0,0442 ;               0,0004 ;              -0,0000 ;                  NaN ;              -0,0013 ;               0,0011 ;               0,0669 ;              -0,1866 ;              -0,0073 ;                  NaN ;              -0,1359 ;               0,1216 ;               0,0411 ;               0,1216 ;               0,0041 ;                  NaN ;               0,2111 ;              -0,1220 ;               0,0586 ;               0,1216 ;              -0,0064 ;              -0,0000 ;               0,0833 ;               0,0997 ;               0,0338 
   1.delay ;              -0,0024 ;               0,0016 ;                  NaN ;              -0,0020 ;               0,0575 ;               1,0000 ;              -0,0011 ;               0,0006 ;                  NaN ;              -0,0000 ;               0,0283 ;               0,4642 ;               0,0516 ;               0,0023 ;               0,0000 ;               0,0521 ;               0,0528 ;               0,5948 ;               0,0019 ;              -0,0009 ;              -0,0000 ;               0,0036 ;               0,0239 ;               0,6324 ;              -0,0047 ;               0,0032 ;                  NaN ;              -0,0030 ;               0,0023 ;               0,8446 ;               0,0458 ;               0,0020 ;                  NaN ;               0,0378 ;               0,0670 ;               0,6105 ;               0,0670 ;               0,0018 ;                  NaN ;               0,0519 ;              -0,0008 ;               0,7642 ;               0,0670 ;               0,0038 ;              -0,0000 ;               0,0552 ;               0,0324 ;               0,3883 
   2.input ;              -0,0031 ;              -0,0009 ;                  NaN ;              -0,2544 ;              -0,0025 ;              -0,0011 ;               1,0000 ;              -0,8661 ;                  NaN ;               0,9409 ;              -0,3164 ;              -0,2335 ;              -0,2837 ;               0,0008 ;              -0,0000 ;              -0,3102 ;              -0,3559 ;               0,0034 ;               0,0032 ;               0,0031 ;               0,0000 ;               0,0018 ;               0,0058 ;              -0,0114 ;              -0,0003 ;               0,0010 ;                  NaN ;               0,0003 ;               0,0030 ;               0,0066 ;              -0,2232 ;               0,0021 ;                  NaN ;              -0,2069 ;              -0,1991 ;              -0,0157 ;              -0,1991 ;               0,0036 ;                  NaN ;              -0,1519 ;              -0,0939 ;               0,0198 ;              -0,1991 ;              -0,0004 ;               0,0000 ;              -0,2623 ;               0,1295 ;               0,0100 
   2.speed ;               0,0032 ;               0,0010 ;                  NaN ;               0,1934 ;               0,0091 ;               0,0006 ;              -0,8661 ;               1,0000 ;                  NaN ;              -0,9183 ;              -0,0728 ;               0,5244 ;              -0,0608 ;               0,0002 ;               0,0000 ;               0,0435 ;               0,2184 ;              -0,0017 ;              -0,0042 ;              -0,0056 ;              -0,0000 ;              -0,0018 ;              -0,0075 ;               0,0100 ;               0,0002 ;              -0,0012 ;                  NaN ;              -0,0009 ;              -0,0025 ;               0,0116 ;               0,1347 ;              -0,0041 ;                  NaN ;               0,1021 ;               0,1931 ;               0,0166 ;               0,1931 ;               0,0005 ;                  NaN ;               0,2003 ;               0,0013 ;              -0,0121 ;               0,1931 ;              -0,0008 ;              -0,0000 ;               0,1779 ;              -0,1876 ;               0,0188 
    2.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 2.density ;              -0,0029 ;              -0,0022 ;                  NaN ;              -0,2295 ;              -0,0045 ;              -0,0000 ;               0,9409 ;              -0,9183 ;                  NaN ;               1,0000 ;              -0,2540 ;              -0,3168 ;              -0,2288 ;              -0,0008 ;              -0,0000 ;              -0,2773 ;              -0,3079 ;               0,0062 ;               0,1781 ;              -0,0731 ;               0,0000 ;               0,2404 ;              -0,0194 ;              -0,0775 ;               0,0003 ;               0,0009 ;                  NaN ;               0,0004 ;               0,0071 ;               0,0004 ;              -0,2003 ;               0,0703 ;                  NaN ;              -0,2242 ;              -0,2203 ;              -0,0070 ;              -0,2203 ;               0,0036 ;                  NaN ;              -0,2071 ;              -0,0433 ;               0,0186 ;              -0,2203 ;               0,0054 ;               0,0000 ;              -0,2469 ;               0,1242 ;               0,0094 
  2.output ;               0,0051 ;              -0,0062 ;                  NaN ;               0,1331 ;              -0,0073 ;               0,0283 ;              -0,3164 ;              -0,0728 ;                  NaN ;              -0,2540 ;               1,0000 ;              -0,3841 ;               0,8895 ;               0,0017 ;               0,0000 ;               0,7434 ;               0,4196 ;               0,0238 ;              -0,5170 ;              -0,1462 ;              -0,0000 ;              -0,5201 ;              -0,2187 ;               0,1014 ;               0,0036 ;              -0,0031 ;                  NaN ;               0,0207 ;              -0,0428 ;               0,0050 ;               0,1427 ;               0,1390 ;                  NaN ;               0,0808 ;               0,2771 ;              -0,0216 ;               0,2771 ;              -0,0083 ;                  NaN ;               0,1570 ;              -0,0389 ;               0,0095 ;               0,2771 ;              -0,1039 ;              -0,0000 ;               0,4339 ;               0,1191 ;               0,0531 
   2.delay ;              -0,0376 ;              -0,0416 ;                  NaN ;               0,0176 ;               0,0425 ;               0,4642 ;              -0,2335 ;               0,5244 ;                  NaN ;              -0,3168 ;              -0,3841 ;               1,0000 ;              -0,3235 ;               0,0172 ;               0,0000 ;              -0,2385 ;               0,0004 ;               0,5366 ;               0,0163 ;              -0,1406 ;              -0,0000 ;               0,0918 ;              -0,0804 ;               0,5995 ;              -0,0049 ;               0,0056 ;                  NaN ;              -0,0074 ;               0,0006 ;               0,5540 ;              -0,0341 ;               0,0266 ;                  NaN ;              -0,0865 ;               0,1018 ;               0,6748 ;               0,1018 ;               0,0021 ;                  NaN ;               0,1223 ;              -0,0864 ;               0,5933 ;               0,1018 ;              -0,0144 ;              -0,0000 ;               0,0324 ;              -0,1444 ;               0,4096 
   3.input ;               0,4542 ;              -0,1064 ;                  NaN ;               0,4969 ;               0,4505 ;               0,0516 ;              -0,2837 ;              -0,0608 ;                  NaN ;              -0,2288 ;               0,8895 ;              -0,3235 ;               1,0000 ;               0,0025 ;               0,0000 ;               0,7844 ;               0,2396 ;               0,0424 ;              -0,4602 ;              -0,1313 ;              -0,0000 ;              -0,4629 ;              -0,1935 ;               0,1107 ;               0,0034 ;              -0,0028 ;                  NaN ;               0,0179 ;              -0,0377 ;               0,0350 ;               0,0421 ;               0,1208 ;                  NaN ;               0,0100 ;               0,3030 ;              -0,0005 ;               0,3030 ;              -0,0055 ;                  NaN ;               0,2366 ;              -0,0905 ;               0,0353 ;               0,3030 ;              -0,0957 ;              -0,0000 ;               0,4254 ;               0,1519 ;               0,0629 
   3.speed ;               0,0013 ;              -0,0022 ;                  NaN ;               0,0482 ;               0,0021 ;               0,0023 ;               0,0008 ;               0,0002 ;                  NaN ;              -0,0008 ;               0,0017 ;               0,0172 ;               0,0025 ;               1,0000 ;               0,0000 ;              -0,4825 ;               0,5313 ;              -0,1231 ;              -0,0032 ;              -0,0001 ;              -0,0000 ;              -0,0026 ;               0,0071 ;               0,0279 ;               0,0066 ;              -0,0063 ;                  NaN ;               0,0063 ;              -0,0008 ;               0,0073 ;               0,3426 ;              -0,0003 ;                  NaN ;               0,2544 ;              -0,1053 ;               0,0201 ;              -0,1053 ;              -0,0041 ;                  NaN ;              -0,1518 ;               0,0907 ;               0,0122 ;              -0,1053 ;               0,0040 ;              -0,0000 ;               0,0097 ;               0,2068 ;               0,0245 
    3.ksiD ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;               0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;               1,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;              -1,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -1,0000 ;              -0,0000 ;               0,0000 ;              -0,0000 
 3.density ;               0,2585 ;               0,1594 ;                  NaN ;               0,2018 ;               0,2640 ;               0,0521 ;              -0,3102 ;               0,0435 ;                  NaN ;              -0,2773 ;               0,7434 ;              -0,2385 ;               0,7844 ;              -0,4825 ;              -0,0000 ;               1,0000 ;              -0,0945 ;               0,0807 ;              -0,3390 ;              -0,0177 ;               0,0000 ;              -0,3857 ;              -0,0852 ;               0,1083 ;              -0,1689 ;               0,1668 ;                  NaN ;              -0,1449 ;               0,0232 ;               0,0632 ;              -0,0802 ;               0,0979 ;                  NaN ;              -0,0343 ;               0,2788 ;              -0,0436 ;               0,2788 ;              -0,1149 ;                  NaN ;               0,3087 ;              -0,1864 ;               0,0462 ;               0,2788 ;              -0,0808 ;               0,0000 ;               0,3252 ;              -0,0159 ;               0,0650 
  3.output ;              -0,2970 ;              -0,0240 ;                  NaN ;              -0,0744 ;              -0,2954 ;               0,0528 ;              -0,3559 ;               0,2184 ;                  NaN ;              -0,3079 ;               0,4196 ;               0,0004 ;               0,2396 ;               0,5313 ;              -0,0000 ;              -0,0945 ;               1,0000 ;               0,0328 ;              -0,1389 ;              -0,0528 ;               0,0000 ;              -0,1599 ;              -0,0627 ;               0,0626 ;               0,2566 ;              -0,2298 ;                  NaN ;               0,2457 ;              -0,1038 ;               0,0154 ;               0,5367 ;               0,2325 ;                  NaN ;               0,2645 ;               0,3654 ;               0,0434 ;               0,3654 ;               0,1238 ;                  NaN ;               0,1116 ;               0,1671 ;               0,0537 ;               0,3654 ;              -0,1207 ;               0,0000 ;               0,5703 ;               0,0009 ;              -0,0009 
   3.delay ;              -0,0532 ;              -0,0319 ;                  NaN ;              -0,0039 ;               0,0463 ;               0,5948 ;               0,0034 ;              -0,0017 ;                  NaN ;               0,0062 ;               0,0238 ;               0,5366 ;               0,0424 ;              -0,1231 ;               0,0000 ;               0,0807 ;               0,0328 ;               1,0000 ;              -0,0021 ;              -0,0015 ;              -0,0000 ;              -0,0047 ;               0,0274 ;               0,7227 ;               0,0109 ;              -0,0095 ;                  NaN ;               0,0100 ;              -0,0081 ;               0,6875 ;               0,0269 ;               0,0834 ;                  NaN ;              -0,0500 ;              -0,0198 ;               0,7351 ;              -0,0198 ;              -0,0024 ;                  NaN ;              -0,0505 ;              -0,0943 ;               0,7495 ;              -0,0198 ;              -0,0061 ;              -0,0000 ;               0,0173 ;              -0,0834 ;               0,4397 
   4.input ;               0,0006 ;              -0,0052 ;                  NaN ;              -0,0158 ;               0,0030 ;               0,0019 ;               0,0032 ;              -0,0042 ;                  NaN ;               0,1781 ;              -0,5170 ;               0,0163 ;              -0,4602 ;              -0,0032 ;               0,0000 ;              -0,3390 ;              -0,1389 ;              -0,0021 ;               1,0000 ;               0,5019 ;              -0,0000 ;               0,8358 ;               0,6163 ;              -0,0238 ;               0,0011 ;              -0,0018 ;                  NaN ;               0,0017 ;               0,0018 ;               0,0033 ;               0,1785 ;               0,0000 ;                  NaN ;               0,1624 ;              -0,1811 ;               0,0182 ;              -0,1811 ;               0,0073 ;                  NaN ;              -0,1256 ;               0,1474 ;               0,0197 ;              -0,1811 ;              -0,0019 ;              -0,0000 ;              -0,2042 ;              -0,1254 ;               0,0017 
   4.speed ;              -0,0018 ;              -0,0008 ;                  NaN ;              -0,0152 ;              -0,0017 ;              -0,0009 ;               0,0031 ;              -0,0056 ;                  NaN ;              -0,0731 ;              -0,1462 ;              -0,1406 ;              -0,1313 ;              -0,0001 ;               0,0000 ;              -0,0177 ;              -0,0528 ;              -0,0015 ;               0,5019 ;               1,0000 ;              -0,0000 ;               0,0048 ;               0,8973 ;               0,2663 ;              -0,0023 ;               0,0007 ;                  NaN ;              -0,0015 ;              -0,0033 ;              -0,0039 ;               0,3512 ;              -0,0064 ;                  NaN ;               0,3812 ;               0,0451 ;              -0,0037 ;               0,0452 ;               0,0032 ;                  NaN ;               0,1449 ;               0,0337 ;               0,0123 ;               0,0451 ;              -0,0007 ;              -0,0000 ;              -0,0350 ;              -0,0702 ;              -0,0079 
    4.ksiD ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 ;              -0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;              -1,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;               1,0000 ;              -0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;               0,0000 ;               0,0000 ;               1,0000 ;               0,0000 ;              -0,0000 ;               0,0000 
 4.density ;               0,0004 ;              -0,0046 ;                  NaN ;              -0,0103 ;               0,0030 ;               0,0036 ;               0,0018 ;              -0,0018 ;                  NaN ;               0,2404 ;              -0,5201 ;               0,0918 ;              -0,4629 ;              -0,0026 ;               0,0000 ;              -0,3857 ;              -0,1599 ;              -0,0047 ;               0,8358 ;               0,0048 ;              -0,0000 ;               1,0000 ;               0,1171 ;              -0,1927 ;               0,0019 ;              -0,0019 ;                  NaN ;               0,0019 ;               0,0042 ;               0,0078 ;              -0,0487 ;               0,0036 ;                  NaN ;              -0,0620 ;              -0,2254 ;               0,0161 ;              -0,2254 ;               0,0055 ;                  NaN ;              -0,2060 ;               0,1721 ;               0,0166 ;              -0,2254 ;               0,2562 ;              -0,0000 ;              -0,2975 ;               0,0154 ;               0,0999 
  4.output ;              -0,0019 ;              -0,0014 ;                  NaN ;              -0,0166 ;               0,0039 ;               0,0239 ;               0,0058 ;              -0,0075 ;                  NaN ;              -0,0194 ;              -0,2187 ;              -0,0804 ;              -0,1935 ;               0,0071 ;               0,0000 ;              -0,0852 ;              -0,0627 ;               0,0274 ;               0,6163 ;               0,8973 ;              -0,0000 ;               0,1171 ;               1,0000 ;               0,2711 ;              -0,0051 ;               0,0029 ;                  NaN ;              -0,0037 ;              -0,0086 ;               0,0249 ;               0,3852 ;              -0,0025 ;                  NaN ;               0,3710 ;              -0,0103 ;               0,0251 ;              -0,0103 ;               0,0027 ;                  NaN ;               0,0645 ;               0,0071 ;               0,0447 ;              -0,0103 ;              -0,3038 ;              -0,0000 ;               0,0199 ;              -0,1634 ;              -0,1347 
   4.delay ;              -0,0533 ;              -0,0552 ;                  NaN ;              -0,0106 ;               0,0442 ;               0,6324 ;              -0,0114 ;               0,0100 ;                  NaN ;              -0,0775 ;               0,1014 ;               0,5995 ;               0,1107 ;               0,0279 ;              -0,0000 ;               0,1083 ;               0,0626 ;               0,7227 ;              -0,0238 ;               0,2663 ;               0,0000 ;              -0,1927 ;               0,2711 ;               1,0000 ;              -0,0057 ;               0,0066 ;                  NaN ;              -0,0038 ;              -0,0025 ;               0,7253 ;               0,1553 ;              -0,0099 ;                  NaN ;               0,1643 ;               0,1101 ;               0,8494 ;               0,1101 ;              -0,0069 ;                  NaN ;               0,1149 ;              -0,0578 ;               0,8079 ;               0,1101 ;              -0,0743 ;               0,0000 ;               0,1005 ;              -0,0114 ;               0,5065 
   5.input ;              -0,0000 ;               0,0040 ;                  NaN ;               0,0031 ;               0,0004 ;              -0,0047 ;              -0,0003 ;               0,0002 ;                  NaN ;               0,0003 ;               0,0036 ;              -0,0049 ;               0,0034 ;               0,0066 ;              -0,0000 ;              -0,1689 ;               0,2566 ;               0,0109 ;               0,0011 ;              -0,0023 ;               0,0000 ;               0,0019 ;              -0,0051 ;              -0,0057 ;               1,0000 ;              -0,9657 ;                  NaN ;               0,9577 ;              -0,2967 ;              -0,1329 ;              -0,0563 ;              -0,0024 ;                  NaN ;              -0,0233 ;               0,3233 ;              -0,0079 ;               0,3233 ;               0,0036 ;                  NaN ;               0,2718 ;               0,2479 ;              -0,0045 ;               0,3233 ;              -0,0029 ;               0,0000 ;               0,2404 ;               0,1859 ;              -0,0064 
